group,fname,flags_thresh,flags_out,flags_natoms,flags_atomids,natoms,econfig,eatom,max_fmag,min_nn1_dist
Shear,InP_shear_1521.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.690663057999998,-0.96133,11.167619030984671,4.3233160079272475
Shear,InP_shear_1521.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.690663057999998,-0.96133,11.167619030984671,4.3233160079272475
Shear,InP_shear_1531.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.1931059479999995,-0.89914,12.007214182546175,4.156776064451874
Shear,InP_shear_1531.json,fmag>8 nn1_dist_outside_2.0-4.5A ,,8,0 1 2 3 4 5 6 7,8,-7.1931059479999995,-0.89914,12.007214182546175,4.156776064451874
Shear,InP_shear_1531.json,fz>8 fmag>8 nn1_dist_outside_2.0-4.5A ,,8,0 1 2 3 4 5 6 7,8,-7.1931059479999995,-0.89914,12.007214182546175,4.156776064451874
Shear,InP_shear_1531.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.1931059479999995,-0.89914,12.007214182546175,4.156776064451874
Shear,InP_shear_1541.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.266473968,-0.90831,11.892177019880675,4.17044718754476
Shear,InP_shear_1541.json,fmag>8 nn1_dist_outside_2.0-4.5A ,,8,0 1 2 3 4 5 6 7,8,-7.266473968,-0.90831,11.892177019880675,4.17044718754476
Shear,InP_shear_1541.json,fz>8 fmag>8 nn1_dist_outside_2.0-4.5A ,,8,0 1 2 3 4 5 6 7,8,-7.266473968,-0.90831,11.892177019880675,4.17044718754476
Shear,InP_shear_1541.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.266473968,-0.90831,11.892177019880675,4.17044718754476
Shear,InP_shear_1551.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.920450998,-0.99006,10.840748311325424,4.200201159004172
Shear,InP_shear_1551.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.920450998,-0.99006,10.840748311325424,4.200201159004172
Shear,InP_shear_1561.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.570948108,-0.94637,11.337685847913319,4.361890800570321
Shear,InP_shear_1561.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.570948108,-0.94637,11.337685847913319,4.361890800570321
Shear,InP_shear_1571.json,fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.845874968,-0.98073,10.972616518912389,4.138632862202202
Shear,InP_shear_1571.json,fz>8 fmag>8 ,,8,0 1 2 3 4 5 6 7,8,-7.845874968,-0.98073,10.972616518912389,4.138632862202202
